t,Vin,Vout RC = 1,Vout RC = 0.1,Vout RC = 0.01
2.7800000000000002,1.0,0.3584257645252497,0.9991805614556291,1.0
2.79,1.0,0.3648095348299401,0.9992585412761078,1.0
2.8000000000000003,1.0,0.37112978555879705,0.9993291003419202,1.0
2.81,1.0,0.3773871487421602,0.9993929448306322,1.0
2.82,1.0,0.3835822501215622,0.9994507137181872,1.0
2.83,1.0,0.3897157092123036,0.9995029851739802,1.0
2.84,1.0,0.3957881393654045,0.9995502823473613,1.0
2.85,1.0,0.4018001478289406,0.9995930786034806,1.0
2.86,1.0,0.407752335808768,0.9996318022608769,1.0
2.87,1.0,0.41364529852864496,0.9996668408782262,1.0
2.88,1.0,0.4194796252897541,0.999698545133152,1.0
2.89,1.0,0.42525589952963333,0.9997272323319184,1.0
2.9,1.0,0.4309746988805202,0.9997531895851323,1.0
2.91,1.0,0.43663659522711534,0.9997766766812372,1.0
2.92,1.0,0.4422421547637716,0.9997979286865589,1.0
2.93,1.0,0.44779193805111384,0.9998171582979243,1.0
2.94,1.0,0.45328650007209553,0.9998345579713981,1.0
2.95,1.0,0.45872639028749757,0.9998503018484449,1.0
2.96,1.0,0.4641121526908746,0.9998645474987923,1.0
2.97,1.0,0.469444325862955,0.9998774374974384,1.0
2.98,1.0,0.4747234430254994,0.9998891008515884,1.0
2.99,1.0,0.4799500320946233,0.9998996542917992,1.0
3.0,-1.0,0.48512461573358895,0.9999092034402558,1.0
3.0100000000000002,-1.0,0.4703473789050724,0.8095928438678724,-0.25
3.02,-1.0,0.4557171780397152,0.637387464863296,-0.71875
3.0300000000000002,-1.0,0.44123255010523915,0.4815695802382426,-0.89453125
3.04,-1.0,0.4268920466267806,0.3405797150588208,-0.96044921875
3.0500000000000003,-1.0,0.4126942335420414,0.21300679792453572,-0.98516845703125
3.06,-1.0,0.3986376910578817,0.09757403851704208,-0.9944381713867188
3.0700000000000003,-1.0,0.38472101350833965,-0.006873850923335936,-0.9979143142700195
3.08,-1.0,0.3709428092140632,-0.10138221808484399,-0.9992178678512573
3.09,-1.0,0.35730170034314124,-0.186896932756345,-0.9997067004442215
3.1,-1.0,0.3437963227733193,-0.2642738533929193,-0.9998900126665831
3.11,-1.0,0.3304253259555861,-0.3342873928194156,-0.9999587547499686
3.12,-1.0,0.31718737277911757,-0.39763826880023795,-0.9999845330312382
3.13,-1.0,0.30408113943756465,-0.4549605170455353,-0.9999941998867143
3.14,-1.0,0.29110531529667144,-0.5068278368421896,-0.9999978249575179
3.15,-1.0,0.2782586027632109,-0.5537593328186947,-0.9999991843590692
3.16,-1.0,0.26553971715522423,-0.5962247103093357,-0.999999694134651
3.17,-1.0,0.25294738657355176,-0.6346489763145235,-0.9999998853004941
3.18,-1.0,0.2404803517746419,-0.6694166931059927,-0.9999999569876853
3.19,-1.0,0.22813736604462573,-0.7008758270482937,-0.9999999838703819
3.2,-1.0,0.2159171950746446,-0.7293412311568104,-0.9999999939513933
3.21,-1.0,0.2038186168374182,-0.7550977962468504,-0.9999999977317725
3.22,-1.0,0.19184042146504085,-0.7784033022115094,-0.9999999991494146
3.23,-1.0,0.17998141112799362,-0.7994909979648067,-0.9999999996810305
3.24,-1.0,0.1682403999153605,-0.8185719358709808,-0.9999999998803865
3.25,-1.0,0.15661621371623619,-0.8358370840236585,-0.999999999955145
3.2600000000000002,-1.0,0.1451076901023141,-0.8514592375152571,-0.9999999999831793
3.27,-1.0,0.1337136782116426,-0.8655947478252114,-0.9999999999936923
3.2800000000000002,-1.0,0.12243303863353774,-0.8783850876352948,-0.9999999999976346
3.29,-1.0,0.11126464329464136,-0.889958266733201,-0.9999999999991129
3.3000000000000003,-1.0,0.10020737534611274,-0.9004301131752027,-0.9999999999996674
3.31,-1.0,0.08926012905194276,-0.9099054325301675,-0.9999999999998752
3.3200000000000003,-1.0,0.07842180967837947,-0.9184790568070155,-0.9999999999999531
3.33,-1.0,0.06769133338445374,-0.9262367935636179,-0.9999999999999825
3.34,-1.0,0.05706762711359425,-0.9332562846961201,-0.9999999999999934
3.35,-1.0,0.04654962848632098,-0.9396077835037255,-0.9999999999999976
3.36,-1.0,0.03613628569400635,-0.9453548578060522,-0.9999999999999991
3.37,-1.0,0.025826557393693488,-0.9505550261500838,-0.9999999999999997
3.38,-1.0,0.015619412603961071,-0.9552603334740765,-0.9999999999999999
3.39,-1.0,0.005513830601824312,-0.9595178719898496,-1.0
3.4,-1.0,-0.0044911991793381775,-0.9633702524966156,-1.0
3.41,-1.0,-0.0143966772508419,-0.9668560308434064,-1.0
3.42,-1.0,-0.024203594168748427,-0.9700100938082707,-1.0
3.43,-1.0,-0.03391293063292185,-0.9728640082562412,-1.0
3.44,-1.0,-0.04352565758509956,-0.9754463370705566,-1.0
3.45,-1.0,-0.05304273630598725,-0.9777829250190798,-1.0
3.46,-1.0,-0.062465118511387765,-0.9798971574169516,-1.0
3.47,-1.0,-0.0717937464473735,-0.981810194174261,-1.0
3.48,-1.0,-0.0810295529845118,-0.9835411815711529,-1.0
3.49,-1.0,-0.09017346171115272,-0.985107443879888,-1.0
3.5,-1.0,-0.09922638702578873,-0.9865246567516682,-1.0
3.5100000000000002,-1.0,-0.10818923422849529,-0.9878070041035376,-1.0
3.52,-1.0,-0.11706289961146157,-0.9889673200755347,-1.0
3.5300000000000002,-1.0,-0.12584827054862047,-0.9900172174788466,-1.0
3.54,-1.0,-0.13454622558438672,-0.9909672040205159,-1.0
3.5500000000000003,-1.0,-0.14315763452151206,-0.9918267874679135,-1.0
3.56,-1.0,-0.15168335850806627,-0.9926045708054982,-1.0
3.5700000000000003,-1.0,-0.16012425012355266,-0.99330833833622,-1.0
3.58,-1.0,-0.16848115346416673,-0.9939451335892995,-1.0
3.59,-1.0,-0.1767549042272065,-0.9945213298141078,-1.0
3.6,-1.0,-0.18494632979464296,-0.9950426937656728,-1.0
3.61,-1.0,-0.19305624931585894,-0.9955144434201969,-1.0
3.62,-1.0,-0.2010854737895647,-0.9959413001982225,-1.0
3.63,-1.0,-0.20903480614489853,-0.9963275362181091,-1.0
3.64,-1.0,-0.21690504132172025,-0.9966770170527532,-1.0
3.65,-1.0,-0.22469696635010603,-0.9969932404174706,-1.0
3.66,-1.0,-0.2324113604290518,-0.9972793711762431,-1.0
3.67,-1.0,-0.24004899500439406,-0.9975382730166839,-1.0
3.68,-1.0,-0.24761063384595491,-0.9977725371107337,-1.0
3.69,-1.0,-0.2550970331239198,-0.9979845080479335,-1.0
3.7,-1.0,-0.262508941484455,-0.998176307300822,-1.0
3.71,-1.0,-0.2698471001245732,-0.9983498544573075,-1.0
3.72,-1.0,-0.2771122428662533,-0.998506886432514,-1.0
3.73,-1.0,-0.2843050962298237,-0.9986489748523798,-1.0
3.74,-1.0,-0.2914263795066147,-0.9987775417829902,-1.0
3.75,-1.0,-0.2984768048308883,-0.9988938739630664,-1.0
3.7600000000000002,-1.0,-0.30545707725105214,-0.9989991356820561,-1.0
3.77,-1.0,-0.3123678948001651,-0.9990943804327125,-1.0
3.7800000000000002,-1.0,-0.3192099485657409,-0.9991805614547845,-1.0
3.79,-1.0,-0.32598392275885785,-0.9992585412753435,-1.0
3.8000000000000003,-1.0,-0.33269049478258006,-0.9993291003412287,-1.0
3.81,-1.0,-0.33933033529969864,-0.9993929448300065,-1.0
3.8200000000000003,-1.0,-0.3459041082997984,-0.9994507137176211,-1.0
3.83,-1.0,-0.3524124711656574,-0.9995029851734679,-1.0
3.84,-1.0,-0.3588560747389858,-0.9995502823468978,-1.0
3.85,-1.0,-0.36523556338551044,-0.9995930786030611,-1.0
3.86,-1.0,-0.3715515750594122,-0.9996318022604973,-1.0
3.87,-1.0,-0.3778047413671217,-0.9996668408778827,-1.0
3.88,-1.0,-0.3839956876304806,-0.9996985451328412,-1.0
3.89,-1.0,-0.39012503294927425,-0.9997272323316372,-1.0
3.9,-1.0,-0.39619339026314226,-0.9997531895848778,-1.0
3.91,-1.0,-0.40220136641287285,-0.9997766766810069,-1.0
3.92,-1.0,-0.4081495622010876,-0.9997979286863505,-1.0
3.93,-1.0,-0.41403857245232206,-0.9998171582977357,-1.0
3.94,-1.0,-0.4198689860725088,-0.9998345579712273,-1.0
3.95,-1.0,-0.4256413861078684,-0.9998503018482904,-1.0
3.96,-1.0,-0.43135634980321463,-0.9998645474986525,-1.0
3.97,-1.0,-0.4370144486596795,-0.999877437497312,-1.0
3.98,-1.0,-0.4426162484918636,-0.999889100851474,-1.0
3.99,-1.0,-0.44816230948441826,-0.9998996542916956,-1.0
4.0,1.0,-0.45365318624806433,-0.9999092034401621,-1.0
4.01,1.0,-0.4391890953750539,-0.8095928438677876,0.25
4.0200000000000005,1.0,-0.424868924610885,-0.6373874648632193,0.71875
4.03,1.0,-0.410691241926548,-0.4815695802381732,0.89453125
4.04,1.0,-0.39665462954195985,-0.34057971505875806,0.96044921875
4.05,1.0,-0.3827576837841852,-0.213006797924479,0.98516845703125
4.0600000000000005,1.0,-0.3689990149470676,-0.09757403851699077,0.9944381713867188
4.07,1.0,-0.35537724715225805,0.0068738509233823575,0.9979143142700195
4.08,1.0,-0.34189101821162576,0.10138221808488598,0.9992178678512573
4.09,1.0,-0.32853897949103833,0.18689693275638303,0.9997067004442215
4.1,1.0,-0.3153197957754972,0.26427385339295373,0.9998900126665831
4.11,1.0,-0.3022321451356149,0.33428739281944675,0.9999587547499686
4.12,1.0,-0.28927471879542144,0.39763826880026615,0.9999845330312382
4.13,1.0,-0.27644622100148497,0.45496051704556084,0.9999941998867143
4.14,1.0,-0.26374536889333594,0.5068278368422127,0.9999978249575179
4.15,1.0,-0.25117089237517964,0.5537593328187156,0.9999991843590692
4.16,1.0,-0.23872153398888574,0.5962247103093545,0.999999694134651
4.17,1.0,-0.2263960487882413,0.6346489763145405,0.9999998853004941
4.18,1.0,-0.21419320421445517,0.669416693106008,0.9999999569876853
4.19,1.0,-0.20211177997290114,0.7008758270483075,0.9999999838703819
4.2,1.0,-0.19015056791108736,0.7293412311568229,0.9999999939513933
4.21,1.0,-0.17830837189784013,0.7550977962468618,0.9999999977317725
4.22,1.0,-0.1665840077036898,0.7784033022115198,0.9999999991494146
4.23,1.0,-0.15497630288244682,0.799490997964816,0.9999999996810305
4.24,1.0,-0.14348409665395612,0.8185719358709892,0.9999999998803865
4.25,1.0,-0.1321062397880182,0.8358370840236662,0.999999999955145
4.26,1.0,-0.12084159448946505,0.8514592375152641,0.9999999999831793
4.2700000000000005,1.0,-0.10968903428437979,0.8655947478252177,0.9999999999936923
4.28,1.0,-0.09864744390744826,0.8783850876353004,0.9999999999976346
4.29,1.0,-0.0877157191904316,0.8899582667332061,0.9999999999991129
4.3,1.0,-0.07689276695174849,0.9004301131752074,0.9999999999996674
4.3100000000000005,1.0,-0.06617750488715608,0.9099054325301718,0.9999999999998752
4.32,1.0,-0.05556886146151869,0.9184790568070192,0.9999999999999531
4.33,1.0,-0.04506577580165336,0.9262367935636213,0.9999999999999825
4.34,1.0,-0.03466719759024168,0.9332562846961232,0.9999999999999934
4.3500000000000005,1.0,-0.024372086960797172,0.9396077835037284,0.9999999999999976
4.36,1.0,-0.014179414393677781,0.9453548578060549,0.9999999999999991
4.37,1.0,-0.004088160613133045,0.9505550261500861,0.9999999999999997
4.38,1.0,0.005902683514624332,0.9552603334740786,0.9999999999999999
4.39,1.0,0.015794117082332686,0.9595178719898516,1.0
4.4,1.0,0.02558712924159151,0.9633702524966173,1.0
4.41,1.0,0.03528269930177744,0.966856030843408,1.0
4.42,1.0,0.044881796827975995,0.9700100938082722,1.0
4.43,1.0,0.05438538173793891,0.9728640082562425,1.0
4.44,1.0,0.06379440439807671,0.9754463370705578,1.0
4.45,1.0,0.07310980571849611,0.9777829250190808,1.0
4.46,1.0,0.08233251724709187,0.9798971574169525,1.0
4.47,1.0,0.09146346126270231,0.9818101941742617,1.0
4.48,1.0,0.10050355086733799,0.9835411815711536,1.0
4.49,1.0,0.10945369007749264,0.9851074438798887,1.0
4.5,1.0,0.11831477391454562,0.9865246567516688,1.0
4.51,1.0,0.12708768849426472,0.9878070041035381,1.0
4.5200000000000005,1.0,0.13577331111541857,0.9889673200755351,1.0
4.53,1.0,0.14437251034750717,0.990017217478847,1.0
4.54,1.0,0.15288614611761964,0.9909672040205162,1.0
4.55,1.0,0.16131506979642754,0.9918267874679139,1.0
